,first_purchase,shelf_price,pct_disc,pct_retail_disc,pct_coupon_disc,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_9,display_A,mailer_A,mailer_C,mailer_D,mailer_H,mailer_J,marital_status_A,marital_status_B,homeowner_Homeowner,homeowner_Probable Owner,homeowner_Probable Renter,homeowner_Renter,hhcomp_1 Adult Kids,hhcomp_2 Adults Kids,hhcomp_2 Adults No Kids,hhcomp_Single Female,hhcomp_Single Male,kid_category_1,kid_category_2,kid_category_3+,kid_category_None/Unknown,age_ordinal,income_ordinal,hhsize_ordinal,campaign_6.0,campaign_8.0,campaign_13.0,campaign_18.0,campaign_29.0,campaign_30.0,description_TypeA,description_TypeB,description_TypeC
36,True,5.79,0.310880829015544,0.310880829015544,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0,0
37,False,5.79,0.310880829015544,0.310880829015544,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0,0
38,True,5.79,0.2245250431778928,0.2245250431778929,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0,0
39,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
40,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
41,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
42,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
43,False,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
44,True,2.99,0.100334448160535,0.1003344481605351,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
45,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
46,False,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
47,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
48,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
